,time,temperature,pressure,humidity
0,1553050800,42.9,1026.09,0.51
1,1553054400,41.39,1026.12,0.55
2,1553058000,40.5,1026.22,0.57
3,1553061600,41.03,1025.88,0.56
4,1553065200,40.92,1025.74,0.56
5,1553068800,40.03,1025.78,0.57
6,1553072400,38.74,1025.6,0.59
7,1553076000,37.26,1025.83,0.62
8,1553079600,35.63,1025.98,0.65
9,1553083200,35.73,1026.07,0.65
10,1553086800,39.56,1026.22,0.58
11,1553090400,44.88,1026.29,0.5
12,1553094000,49.49,1026.1,0.43
13,1553097600,53,1025.41,0.38
14,1553101200,55.36,1024.52,0.34
15,1553104800,57.54,1023.7,0.3
16,1553108400,59.87,1022.58,0.27
17,1553112000,61.67,1021.38,0.26
18,1553115600,62.54,1020.47,0.25
19,1553119200,61.56,1019.9,0.27
20,1553122800,59.21,1019.58,0.31
21,1553126400,56.34,1019.47,0.35
22,1553130000,53.87,1019.66,0.39
23,1553133600,51.26,1020.06,0.43
24,1553137200,49.33,1020.26,0.47
25,1553140800,47.8,1020.06,0.49
26,1553144400,46.52,1019.66,0.52
27,1553148000,45.63,1019.19,0.54
28,1553151600,45.12,1018.65,0.55
29,1553155200,45.02,1018.02,0.56
30,1553158800,44.39,1017.55,0.58
31,1553162400,43.4,1017.36,0.61
32,1553166000,42.47,1017.28,0.63
33,1553169600,43.06,1017.15,0.62
34,1553173200,45.59,1016.96,0.6
35,1553176800,49.67,1016.7,0.56
36,1553180400,52.66,1016.35,0.54
37,1553184000,54.68,1015.84,0.53
38,1553187600,55.76,1015.27,0.53
39,1553191200,57.13,1014.72,0.51
40,1553194800,58.52,1014.18,0.48
41,1553198400,59.88,1013.71,0.44
42,1553202000,60.04,1013.54,0.43
43,1553205600,58.84,1013.81,0.45
44,1553209200,56.53,1014.43,0.49
45,1553212800,54.4,1015.1,0.53
46,1553216400,52.65,1015.86,0.56
47,1553220000,51.43,1016.68,0.59
48,1553223600,50.29,1017.32,0.61
